feature_name,correlation,f_score,mutual_info,rf_importance,correlation_normalized,f_score_normalized,mutual_info_normalized,rf_importance_normalized,average_importance
ballad_genre_score,0.009239825327737605,35.803006732130946,0.0005224262220391296,0.03451469349675984,0.9999989044230484,0.9999999997206526,0.20025869978154592,0.6272226984176376,0.7068700755857211
TrackDurationMs,0.006028587153331263,15.240589657217445,0.0016941774292869027,0.05491710643461154,0.6481830514082043,0.42559431473998094,0.6494194871459296,0.9999998172877296,0.6807991676454611
duration_short,0.007656986277753673,24.586465457478877,0.0019404649397731788,0.0009354614604776362,0.8265867062891463,0.6866688844870802,0.743827490691206,0.0136889261875756,0.567693001913752
MoodScore,0.007331765524648756,22.542152284896368,0.0002679444155093691,0.030798996932039326,0.7909562701590426,0.6295615364581907,0.10270962290942118,0.5593323628866746,0.5206399481033323
duration_long,0.005967509559363526,14.933328241247613,0.002230789919903442,0.002589087268721383,0.6414915309868559,0.41701104831438124,0.8551161293205185,0.04390269876261689,0.48938035184609313
drum_complexity,0.0031358139839511912,4.123440706778421,0.001960162366721363,0.04074138888160902,0.33125749033484986,0.11503969780733382,0.7513779943667086,0.7409920634783462,0.4846668114968096
acoustic_genre_score,0.0007330823103676341,0.22535158220005952,0.0026087466862714237,0.031204989356868152,0.06801974607632671,0.0061476086350515475,0.9999961667563508,0.5667503426556258,0.41022846603083873
rhythm_energy_ratio,0.0010661559788006725,0.4766470236436096,0.0024053678992288496,0.030807840863809218,0.10451052951010795,0.013167480357768751,0.9220361223747285,0.5594939523719333,0.39980202115363467
RhythmScore,0.005651061989617022,13.391490276396311,0.0,0.032715317803777816,0.6068222646047624,0.3739402123760268,0.0,0.5943458966080696,0.3937770933972147
standardized_rhythm_mood,0.0028618861829373685,3.434497236613744,0.0010886397711713514,0.040904173906210026,0.30124659181407143,0.09579424410161637,0.41730214891266626,0.743966345620895,0.3895773326123123
InstrumentalScore,0.0023952083725700436,2.405713981279721,0.002057260168060182,0.022402095661551907,0.2501184465254297,0.06705545583932883,0.7885979474001962,0.4059106733745658,0.37792063078488014
music_density,0.005124358164011732,11.011468899501876,0.0,0.03322482000048936,0.549117807436691,0.3074549444095691,0.0,0.6036551269195365,0.3650569696914492
loudness_vocal_product,0.004790578508723341,9.623671477999027,0.0,0.036446420309686325,0.5125496777102204,0.26868719032654836,0.0,0.662517717588182,0.3609386464062377
standardized_acoustic_loudness,0.004312052031808466,7.797061486537039,0.0,0.040784764382751706,0.4601234198238466,0.2176613231089087,0.0,0.7417845871075254,0.35489233251007013
tempo_stability,0.0035864019775868877,5.393596025463935,0.0,0.04622690550647495,0.38062287238674203,0.15052115084874212,0.0,0.8412191831411262,0.3430908015941526
max_score,0.004515318430602203,8.54949611502133,0.0,0.03583014548210039,0.4823928179802429,0.23868038553737153,0.0,0.6512576202967761,0.34308270595359763
acoustic_loudness_ratio,0.0044900353644189515,8.454018177312818,0.0,0.034837333827958714,0.47962286352249367,0.23601323458861906,0.0,0.6331177331599483,0.3371884578177653
AudioLoudness,0.0024344368553545674,2.4851608354395296,0.0011031006706643254,0.03271921602360098,0.2544162286841345,0.06927478270722412,0.42284536402700573,0.594417121867495,0.3352383743214648
LivePerformanceLikelihood,0.0028719917908183673,3.458795370827473,0.0005335343070127507,0.037766930572474995,0.30235373892175815,0.09647300605727269,0.20451669939955452,0.6866450604029865,0.32249712619539295
ambient_genre_score,0.0010729740732310948,0.48276286333320145,0.0014914209669409928,0.03241365600037098,0.1052575042213245,0.013338324722676506,0.5716979949834311,0.5888341653099285,0.31978199730934015
rock_genre_score,0.0005680183690725609,0.13529439333949658,0.0006819473468357984,0.042627689007771676,0.04993572111313505,0.003631884872304021,0.26140703363581,0.7754570813415347,0.27260793024069596
energy_mood_product,0.0004705301452366342,0.09283888146409892,0.001032192499406115,0.03570548282940694,0.03925513600391025,0.0024459013718650087,0.3956645343116994,0.6489798806665018,0.2715863630884941
chorus_section_likelihood,0.002367240224805566,2.349860039186004,0.0,0.03756510330501089,0.2470543207183105,0.06549519073283247,0.0,0.6829574285770904,0.24887673500705834
standardized_vocal_mood,0.0023663308909987286,2.34805506079241,0.0,0.0368660632222919,0.24695469620229746,0.06544476913858263,0.0,0.6701851085184546,0.24564614346483366
standardized_energy_rhythm,0.0022869632473719553,2.19318638183355,0.0,0.03429137014177332,0.23825936009584578,0.061118553533903275,0.0,0.6231423066962334,0.23063005508149562
acoustic_instrumental_ratio,0.002616507122177952,2.870791912839066,0.0,0.028444438099366004,0.27436342747543907,0.08004728490657692,0.0,0.5163116838852374,0.21768059906681336
instrumental_live_ratio,0.0019954161926111873,1.669642965163181,0.0,0.031349845665521445,0.20631813674401908,0.04649350659637395,0.0,0.5693970451586298,0.20555217212475568
harmonic_complexity,0.0017686897212647228,1.311775637530267,0.00014469738327882453,0.026327085280146965,0.18147850711033478,0.03649657740695611,0.055466032551174355,0.4776250498099322,0.18776654171959936
dance_genre_score,0.0012473591483544062,0.6524370378720032,0.0,0.03281753965011685,0.12436273112306542,0.018078127932309656,0.0,0.5962136151705711,0.18466361855648655
standardized_vocal_energy,0.00011222454247020447,0.005281175390762019,0.0,0.037817731659146946,0.0,0.0,0.0,0.6875732585912461,0.17189331464781152
duration_medium,0.0017048047553978403,1.2187242616809024,0.0009100281761809104,0.0023287476308762717,0.1744794174942441,0.0338972118222381,0.34883597269531946,0.03914597413307399,0.1490896440362189
duration_very_long,0.0017405274063905297,1.2703340710775517,0.0,0.0008913046017445646,0.17839310880219822,0.03533891820384689,0.0,0.012882126196466247,0.05665353830062784
duration_very_short,0.0007573156801718499,0.2404966578507114,0.00013318945021945083,0.0001862547344821567,0.07067469821816542,0.006570682319507167,0.05105476141962952,0.0,0.032075035489325526
